"FID" "IID" "SOL" "C1" "C2" "C3" "C4" "HYPER" "SEX" "NALT" "NMIN" "NHET" "NVAR" "RATE" "SING" "TITV" "PASS" "PASS_S" "QUAL" "DP" "REF.dbsnp" "G.DP" "NRG.DP"
"152" "AT0766" "." 0 -0.108835 0.0756252 -0.186178 0.0652241 1 1 66 31 23 835 0.969803 0 2.1 26 0 802194 52224.7 0.903226 39.8508 72.4091
"153" "AT0768" "." 0 0.0423029 -0.0734488 0.0633705 -0.0301907 1 1 89 61 60 828 0.961672 0 1.65217 55 0 822520 53914 0.918033 39.1016 65.7416
"154" "AT0770" "." 0 0.114977 0.13007 0.0412125 0.0713631 1 1 94 68 51 854 0.99187 0 1.61538 51 0 736325 48740.9 0.941176 48.0641 87.6596
"155" "AT0777" "." 0 -0.0202365 0.130133 0.00552688 -0.0792069 1 2 72 34 24 834 0.968641 0 1.42857 28 0 759444 52099.6 0.941176 42.0582 75.0278
"156" "AT0782" "." 0 0.155569 -0.0215022 -0.053688 0.0438674 1 1 94 73 55 850 0.987224 0 1.80769 58 0 622697 46805.6 0.958904 49.3248 91.7234
"157" "AT0790" "." 0 -0.0607176 -0.102863 -0.147807 0.0757021 1 2 89 49 47 833 0.96748 0 2.26667 42 0 563342 46691.4 0.897959 43.2657 79.0449
"158" "AT0793" "." 0 -0.0811375 -0.145575 -0.0993147 -0.0787666 1 1 70 36 33 836 0.970964 0 1.57143 31 0 677398 48105.8 0.888889 37.6262 60.2857
"159" "AT0794" "." 0 0.121115 0.00182804 0.0739374 -0.0972057 1 1 74 50 29 828 0.961672 2 1.77778 36 0 611215 46417.1 0.84 50.0643 115.473
"160" "AT0796" "." 0 -0.0614094 0.152718 0.107296 -0.0332418 1 1 69 48 37 836 0.970964 0 1.82353 40 0 903390 54605.5 0.958333 45.3928 93.2609
"161" "AT0801" "." 0 -0.165658 -0.128287 0.0996841 -0.0243843 1 1 67 37 33 829 0.962834 0 1.84615 31 0 708866 49605.5 0.945946 44.2491 85.597
"162" "AT0815" "." 0 -0.121878 0.0154339 -0.190959 -0.0907599 1 1 64 30 22 836 0.970964 0 1.30769 25 0 810906 50090.8 0.9 35.1235 50.4219
"163" "AT0817" "." 0 0.102564 0.110009 0.0727895 -0.136328 1 2 85 55 37 845 0.981417 0 1.89474 38 0 631140 46251.9 0.872727 44.6192 79.7059
"164" "AT0820" "." 0 -0.139003 -0.00123121 -0.134119 -0.0972315 1 2 73 38 31 833 0.96748 0 1.11111 27 0 636068 49371.6 0.815789 42.8304 79.1644
"165" "AT0822" "." 0 0.0481921 0.145296 0.0303813 -0.0958986 1 1 86 50 34 839 0.974448 0 1.77778 42 0 595223 47192.4 0.96 44.7753 76.1977
"166" "AT0839" "." 0 -0.154568 0.0551627 -0.0855315 0.0651873 1 2 63 24 8 832 0.966318 0 2 19 0 581142 48889.8 0.833333 39.0023 68.1746
"167" "AT0851" "." 0 0.133895 0.029161 0.0768454 -0.104778 1 1 87 54 38 838 0.973287 0 1.84211 40 0 640357 50027.9 0.796296 42.9069 74.7241
"168" "AT0853" "." 0 -0.171522 -0.088895 0.092772 -0.0276584 1 1 78 42 38 838 0.973287 0 2.23077 32 0 621658 46789.1 0.880952 48.4569 96.4103
"169" "AT0865" "." 0 -0.169007 0.0288434 -0.0441993 -0.08114 1 1 63 22 16 839 0.974448 0 1.33333 15 0 611071 47769.9 0.772727 47.5117 101.714
"170" "AT0868" "." 0 0.0285292 -0.0331321 0.0378045 -0.0653052 1 2 91 53 51 829 0.962834 0 1.65 42 0 604363 46038.5 0.924528 41.9368 68.2198
"171" "AT0869" "." 0 0.00444283 0.0425728 0.020695 -0.0699884 1 2 96 57 51 829 0.962834 0 2 40 0 523567 45177.5 0.789474 41.4309 64.5833
"172" "AT0872" "." 0 -0.163615 0.00801966 -0.0364332 -0.0775047 1 2 77 35 33 830 0.963995 0 1.33333 29 0 521068 47287.4 0.828571 42.0303 76.2208
"173" "AT0880" "." 0 -0.1089 -0.0898583 -0.0337389 0.00427684 1 2 85 44 42 833 0.96748 0 1.93333 34 0 431228 43250.5 0.863636 38.7413 60.8235
"174" "AT0885" "." 0 -0.0822671 -0.15006 -0.101143 -0.0803856 1 2 72 38 35 833 0.96748 0 1.23529 32 0 675365 48429.3 0.815789 41.5117 74.3194
"175" "AT0888" "." 0 0.0282537 0.0518807 -0.0625467 -0.0819744 1 1 83 50 47 835 0.969803 0 1.5 43 0 723637 49608.1 0.9 51.683 104.373
"176" "AT0892" "." 0 0.119451 0.0839003 0.0772797 -0.147661 1 2 64 30 2 837 0.972125 0 1.23077 23 0 686293 48319 0.866667 42.5797 75.6562
"177" "AT0897" "." 0 -0.0496437 0.0232317 -0.0971969 -0.0828562 1 2 75 43 38 834 0.968641 1 1.52941 32 0 688719 48275.9 0.883721 35.3893 52.0533
"178" "AT0905" "." 0 -0.112728 -0.0775336 -0.0192616 -0.0610201 1 1 71 31 26 834 0.968641 2 1.81818 27 2 552336 43517.7 0.83871 43.2398 83
"179" "AT0908" "." 0 0.175035 -0.125502 0.108793 -0.124375 1 2 78 45 24 833 0.96748 0 2 38 0 586568 45773.4 0.933333 44.8285 86.8846
"180" "AT0916" "." 0 -0.0360252 0.0534563 0.144381 -0.0329932 2 1 88 57 50 832 0.966318 0 2.16667 51 0 856548 55073.6 0.947368 45.8613 83.9205
"181" "AT0921" "." 0 0.193746 0.00407034 -0.0207491 -0.0995856 2 1 93 68 47 835 0.969803 2 1.95652 58 1 643108 46460.3 0.970588 48.5 84.3011
"182" "AT0922" "." 0 -0.216418 -0.235381 0.180655 -0.0289455 1 2 65 30 7 837 0.972125 0 1.41667 22 0 607114 47167.3 0.766667 40.4848 70.8308
"183" "AT0926" "." 0 -0.205523 -0.233181 0.173315 -0.0232458 1 2 61 27 6 835 0.969803 0 1.45455 20 0 656329 47390.1 0.814815 41.5355 78.5082
"184" "AT0932" "." 0 -0.0954497 -0.0750896 -0.0529621 0.085224 1 2 74 37 31 834 0.968641 0 3.625 29 0 606593 45244.1 0.918919 53.3946 116.041
"185" "AT0933" "." 0 0.0115532 -0.12593 0.183459 -0.0336172 1 1 92 57 44 840 0.97561 1 1.71429 45 1 651232 47578.9 0.894737 50.6042 94.1087
"186" "AT0938" "." 0 0.0601931 -0.0287877 -0.0483665 -0.0765858 1 1 85 59 52 836 0.970964 0 1.80952 51 0 846427 51974.8 0.898305 44.8413 80.5882
"187" "AT0940" "." 0 -0.070019 0.11151 0.164714 -0.0374243 1 1 73 42 33 826 0.95935 0 1.625 36 0 818563 56088.9 0.904762 34.3147 50.2329
"188" "AT0946" "." 0 -0.0634565 0.100004 -0.105606 -0.0619992 1 1 92 60 53 840 0.97561 2 1.85714 45 0 566946 46363.8 0.9 55.8791 114.717
"189" "AT0950" "." 0 0.130445 -0.00525482 0.082923 -0.116896 1 2 85 53 38 832 0.966318 0 2.3125 43 0 574435 46227.1 0.867925 41.3781 74.7882
"190" "AT0952" "." 0 -0.117559 -0.0805791 -0.0189561 -0.0597262 1 2 75 32 32 838 0.973287 0 2.2 27 0 565313 45857.4 0.8125 44.8859 82.48
"191" "AT0955" "." 0 -0.0810512 -0.110866 -0.145024 0.0627094 1 1 78 53 42 851 0.988386 0 2.11765 42 0 780029 48836.4 0.90566 38.6437 62.6538
"192" "AT0966" "." 0 -0.0370814 0.0831189 -0.154599 0.067683 1 1 85 54 48 837 0.972125 0 2.17647 45 0 727217 50961.1 0.962963 44.6663 84.7412
"193" "AT0968" "." 0 -0.0933884 0.0300641 -0.0126835 -0.0778987 1 2 88 49 48 832 0.966318 0 1.88235 38 0 507133 46789.9 0.877551 43.5683 78.7955
"194" "AT0976" "." 0 -0.132095 -0.14308 -0.00388843 -0.0861764 1 1 81 41 40 832 0.966318 0 1.92857 34 0 444065 41570.4 0.829268 34.1758 47.2099
"195" "AT0984" "." 0 0.117164 0.0844117 0.0767105 -0.14541 1 1 75 46 22 854 0.99187 0 1.42105 30 0 534354 45806.7 0.847826 45.7055 85.7733
"196" "AT0985" "." 0 0.0185403 0.103067 -0.00380515 0.130634 2 2 88 59 53 833 0.96748 0 1.56522 48 0 800347 54665.5 0.915254 47.2217 91.9886
"197" "AT0991" "." 0 -0.244431 -0.261543 0.198519 -0.0384585 1 1 63 30 7 837 0.972125 0 2.33333 25 0 729844 53527.4 0.866667 40.6182 75.5238
"198" "AT0992" "." 0 -0.0137891 0.0629721 0.0378186 -0.0457563 2 2 95 67 62 853 0.990708 0 1.79167 54 0 723297 49141 0.970149 45.1876 75.8105
"199" "AT0998" "." 0 -0.176974 0.0434654 0.0338579 0.108444 1 2 70 35 33 833 0.96748 0 1.91667 25 0 743816 49724.6 0.857143 39.6671 66.0429
"200" "AT1000" "." 0 -0.0440738 0.125348 -0.00204566 -0.0891633 1 2 72 39 30 834 0.968641 1 1.6 28 0 614784 46212.7 0.846154 44.0653 79.9861
"201" "AT1002" "." 0 -0.0933125 -0.206423 -0.0290034 -0.0436963 1 2 70 39 26 834 0.968641 0 1.6 32 0 757276 47635 0.897436 42.035 75.5
"202" "AT1017" "." 0 -0.169412 -0.0781733 0.0504638 0.195512 1 2 78 41 31 833 0.96748 0 1.92857 34 0 733249 50319.5 0.902439 43.4692 81.6923
"203" "AT1019" "." 0 0.154383 0.157461 0.0708457 0.0287017 1 1 72 36 12 819 0.95122 0 2.27273 32 0 622924 51730 0.944444 27.4767 31.5417
"204" "AT1029" "." 0 -0.0401248 -0.0996344 0.0285993 0.108872 1 2 97 71 62 850 0.987224 0 1.84 51 0 632949 48357.5 0.887324 48.2028 90.4227
"205" "AT1034" "." 0 -0.0933884 0.0300641 -0.0126835 -0.0778987 1 2 86 47 45 830 0.963995 0 1.76471 39 0 529319 47577.9 0.93617 37.3963 58.1047
"206" "AT1038" "." 0 0.168218 -0.129081 0.11758 -0.137813 1 2 79 48 24 837 0.972125 0 1.9375 39 0 618523 44951.3 0.875 38.6651 59.9367
"207" "AT1042" "." 0 0.0551237 -0.0409363 0.187775 -0.0555748 1 2 91 60 52 829 0.962834 0 1.85714 48 0 602536 51987.9 0.883333 37.5849 59.5165
"208" "AT1044" "." 0 0.0304455 -0.147491 0.153164 0.134405 1 2 93 67 50 851 0.988386 1 2.52632 50 0 628004 44765.6 0.955224 48.7881 91.957
"209" "AT1050" "." 0 0.0668862 -0.0632975 0.0176747 0.0577629 1 1 87 49 44 837 0.972125 0 2.26667 44 0 670472 48835.6 0.959184 50.3022 99.8391
"210" "AT1063" "." 0 0.232847 -0.135302 0.0124672 -0.13738 1 2 82 51 28 839 0.974448 0 1.55 45 0 648054 48032.2 0.901961 38.6822 60.9024
"211" "AT1068" "." 0 -0.148839 0.0147593 -0.0807489 0.0818335 1 2 81 45 37 850 0.987224 0 2.21429 33 0 508147 42361.2 0.955556 49.1166 101.358
"212" "AT1069" "." 0 -0.132488 0.0779941 0.0913913 0.128734 1 2 78 47 38 828 0.961672 0 2.35714 37 0 690343 53041.8 0.893617 45.8646 87.5641
"213" "AT1071" "." 0 -0.0963721 -0.081787 -0.0373956 0.126275 1 1 83 56 51 848 0.984901 0 1.8 46 0 753845 48474.8 0.928571 42.8778 75.2892
"214" "AT1080" "." 0 0.297101 -0.170733 -0.100986 0.0581909 1 1 74 47 15 835 0.969803 0 1.61111 39 0 677761 47328.1 0.893617 41.6616 72.6486
"215" "AT1083" "." 0 0.00844488 0.138763 -0.0280443 0.0531977 1 2 78 48 38 832 0.966318 0 2.2 42 0 797576 51093.9 0.9375 48.5855 92.5385
"216" "AT1090" "." 0 -0.0324656 -0.276557 -0.198238 0.0786719 1 1 76 45 33 832 0.966318 2 2 41 1 661564 47106.3 0.911111 37.4156 60.9474
"217" "AT1095" "." 0 -0.239212 0.0488422 0.0731168 -0.0482001 1 2 72 38 34 834 0.968641 0 1.53333 29 0 722315 51940.6 0.894737 37.1818 57.2639
"218" "AT1099" "." 0 -0.0602317 -0.220533 -0.099931 -0.0826389 1 1 69 34 23 838 0.973287 0 1.61538 31 0 704509 44864.1 0.882353 39.4703 68.2464
"219" "AT1101" "." 0 -0.0144078 -0.113849 0.000432725 0.133078 1 1 89 63 62 834 0.968641 0 2.31579 57 0 827072 53543 0.952381 42.9837 78.1348
"220" "AT1103" "." 0 0.0954608 -0.0792324 -0.0684262 0.0473582 1 2 100 67 64 855 0.993031 0 1.79167 53 0 603178 45172 0.955224 46.5251 77.72
"221" "AT1108" "." 0 0.0289065 -0.0694626 0.0472062 -0.0768489 1 1 84 45 45 833 0.96748 0 1.8125 38 0 619391 49296.5 0.888889 38.8061 62.8214
"222" "AT1109" "." 0 -0.0032378 0.0752492 0.0149482 -0.0699209 1 2 85 51 46 846 0.982578 0 1.42857 34 0 603791 46501.4 0.882353 41.9977 72.7765
"223" "AT1116" "." 0 -0.0122853 0.0859496 0.0141675 -0.0818994 2 1 74 42 38 835 0.969803 0 1.47059 36 0 759496 51302.6 0.904762 34.8543 50.4865
"224" "AT1120" "." 0 0.0120397 -0.0380777 0.0514087 -0.0256883 2 1 84 54 51 828 0.961672 0 1.84211 48 0 802035 52275.3 0.925926 39.8974 64.9286
"225" "AT1121" "." 0 0.112553 -0.153779 -0.0692664 0.0621324 2 1 88 56 47 835 0.969803 1 1.94737 47 0 678228 47102.2 0.839286 46.9872 86.5568
"226" "AT1122" "." 0 -0.116014 -0.0321526 -0.125512 -0.0899984 1 2 59 27 19 831 0.965157 0 0.928571 22 0 656322 47194.4 0.851852 41.6142 77.9661
"227" "AT1123" "." 0 -0.00868441 0.0621254 0.0207228 -0.0841989 1 2 79 41 36 833 0.96748 0 1.92857 35 0 648814 48564.3 0.902439 38.2286 61.1139
"228" "AT1170" "." 0 -0.158792 -0.0196209 -0.0365028 -0.0893055 2 1 62 23 15 834 0.968641 0 1.3 17 0 479172 46077.2 0.782609 38.1435 59.9839
"229" "AT1171" "." 0 -0.0295353 -0.258169 -0.182212 0.0734231 1 1 81 45 35 836 0.970964 3 1.5 37 0 532769 47894.7 0.866667 45.8159 87.1975
"230" "AT1174" "." 0 -0.137559 0.0890836 -0.25218 0.0453384 1 1 66 32 17 838 0.973287 0 1.46154 27 0 796874 58482.7 0.8125 48.7346 102.833
"231" "AT1225" "." 0 0.0271767 0.0446947 0.00953289 0.0943735 1 2 86 54 44 831 0.965157 0 1.7 48 0 836360 55588.5 0.944444 44.2859 79.4651
"232" "AT1226" "." 0 -0.215029 0.0905417 0.00564806 -0.0278948 1 1 67 30 22 822 0.954704 1 1.30769 26 0 855683 57296 0.9 36.8366 62.5821
"233" "AT1227" "." 0 0.144806 0.0114966 0.0819907 -0.103179 1 2 81 43 28 834 0.968641 0 2.30769 37 0 620348 48692 0.953488 37.6612 62.037
"234" "AT1228" "." 0 -0.168435 0.0788493 -0.0578842 -0.0707069 2 1 63 32 18 845 0.981417 0 2.55556 22 0 565136 35950.7 0.9375 35.9267 54.5714
"235" "AT1231" "." 0 0.0758607 -0.0800155 -0.0696962 0.0456442 1 2 87 52 51 833 0.96748 0 1.73684 44 0 685638 51415.4 0.903846 44.4918 78.2874
"236" "AT1252" "." 0 0.0845293 -0.0455974 0.0480728 -0.0982752 1 2 94 62 51 843 0.979094 0 1.54167 43 0 497118 45537.8 0.806452 34.9257 47.0532
"237" "AT1272" "." 0 0.107661 0.0217609 0.202978 -0.0554419 1 2 93 61 47 832 0.966318 1 1.77273 51 1 658730 50491.4 0.852459 39.9057 64.5699
"238" "AT1285" "." 0 0.0243576 -0.159634 0.0673431 -0.115815 1 2 79 46 27 852 0.989547 0 2.06667 34 0 561371 42793.7 0.934783 37.3123 57.4051
"239" "AT1286" "." 0 -0.139939 0.0123607 -0.134278 -0.0959519 1 2 72 40 36 854 0.99187 0 1.22222 29 0 669180 44304.2 0.925 41.9907 72.9444
"240" "AT1290" "." 0 0.0542463 0.0798526 -0.111483 -0.0799521 2 1 77 51 41 837 0.972125 0 2.4 42 0 787426 49342.1 0.960784 48.4807 91.6494
"241" "AT1291" "." 0 0.241162 -0.116916 0.0550789 0.0743088 1 1 91 71 43 850 0.987224 0 1.73077 57 0 693073 47514.6 0.943662 37.1176 54.1978
"242" "AT1292" "." 0 0.152959 0.0951682 -0.0661062 0.0125808 1 2 89 61 42 832 0.966318 2 1.34615 48 1 631920 48977.9 0.852459 36.8196 53.6629
"243" "AT1296" "." 0 0.04485 0.132395 0.166366 -0.0736579 2 1 68 38 23 832 0.966318 0 1.71429 33 0 904783 54120.5 0.973684 36.3019 56.2353
"244" "AT1298" "." 0 -0.00829428 -0.0112449 0.136327 -0.0194511 2 2 92 61 60 828 0.961672 0 2.05 52 0 732378 50733.7 0.918033 38.134 61.913
"245" "AT1299" "." 0 -0.070745 0.0924519 -0.123743 -0.0779763 1 2 81 51 42 836 0.970964 0 2.1875 37 0 714121 49138.1 0.901961 42.2471 72.5556
"246" "AT1304" "." 0 -0.184077 0.0869728 -0.0558373 -0.0852203 1 2 60 19 10 834 0.968641 0 2.16667 16 0 733978 53277.6 0.947368 45.1839 93.2167
"247" "AT1305" "." 0 0.0776343 -0.0428595 -0.0822205 0.0589436 1 1 90 56 53 834 0.968641 0 1.94737 49 0 746306 50055.5 0.928571 47.6523 85.8778
"248" "AT1309" "." 0 0.0696821 -0.0769722 -0.0343395 -0.0755305 2 1 85 56 49 852 0.989547 0 1.66667 44 0 647882 46068.5 0.875 35.2488 50.2588
"249" "AT1310" "." 0 -0.0198075 0.0599441 0.155571 0.148798 2 1 94 74 54 854 0.99187 0 2.36364 59 0 779067 49109.5 0.959459 38.1312 56.4255
"250" "AT1312" "." 0 0.0669738 -0.0447803 -0.0468547 -0.075089 1 1 92 58 57 832 0.966318 0 2.05263 50 0 665614 48310.5 0.965517 33.6033 46.7391
"251" "AT1316" "." 0 -0.272232 0.0980295 0.0780618 -0.0212916 2 1 55 22 7 830 0.963995 0 1.2 19 0 876734 55309.9 0.863636 31.5691 46.0545
"252" "AT1325" "." 0 -0.129398 -0.038171 -0.133429 -0.0997272 1 1 59 22 16 837 0.972125 0 0.833333 21 0 895035 56638.8 0.909091 40.38 74.4915
"253" "AT1333" "." 0 0.0967897 -0.127287 -0.0337241 -0.106783 2 1 81 57 38 818 0.950058 0 1.85 49 0 669515 48700.6 0.894737 25.3504 31.2469
"254" "AT1337" "." 0 0.00974335 0.0943906 -0.0136064 0.0495057 1 2 78 48 38 829 0.962834 0 1.82353 36 0 688795 49091.9 0.9375 47.4422 89.4744
"255" "AT1340" "." 0 0.0922281 -0.0779494 -0.0679634 0.0447386 2 1 102 70 67 852 0.989547 0 1.91667 56 0 576043 46327.5 0.914286 41.2065 63.5686
"256" "AT1348" "." 0 0.144996 0.180194 -0.1505 0.0450317 1 1 87 67 46 836 0.970964 0 2.19048 60 0 689313 49173.4 0.985075 54.7739 114.552
"257" "AT1350" "." 0 0.169438 0.132339 -0.0839226 0.0237818 1 1 81 53 38 833 0.96748 0 1.78947 47 0 750126 52261.3 0.943396 34.6442 50.3951
"258" "AT1354" "." 0 0.0296658 -0.0661377 0.0474875 -0.0815611 1 2 83 52 41 850 0.987224 0 2.25 40 0 559498 41144.9 0.961538 39.6149 62.2651
"259" "AT1372" "." 0 -0.000558133 0.0902732 0.0488333 0.0829632 2 1 86 59 51 850 0.987224 0 2.47059 45 0 768052 48634.4 0.966102 40.245 64.5116
"260" "AT1431" "." 0 0.252454 -0.0535053 -0.075208 0.00716818 1 2 84 58 36 835 0.969803 0 1.7619 47 0 633598 46698.3 0.862069 36.7288 52.4643
"261" "AT1467" "." 0 0.00425444 -0.0809305 -0.122209 -0.0679952 1 1 78 65 47 851 0.988386 2 2.25 50 1 630043 43561.6 0.953846 37.8453 66.1026
"262" "AT1477" "." 0 -0.215134 -0.00705094 0.0520416 0.123929 1 1 65 30 23 832 0.966318 0 1.5 25 0 800544 57429.6 0.966667 36.0035 61.7692
"263" "AT1508" "." 0 -0.017711 -0.0491497 -0.0236598 0.0717201 1 1 85 48 43 830 0.963995 0 2.42857 39 0 623217 48056.8 0.958333 39.4726 64.8824
"264" "DM056" "." 0 -0.0584239 0.155286 0.103764 -0.0302174 1 2 75 45 32 830 0.963995 0 2 36 0 846239 54582.6 0.933333 46.2345 89.3333
"265" "DM086" "." 0 0.0793783 0.123569 0.14823 0.0754989 2 1 80 50 33 834 0.968641 0 2.125 43 0 765592 53042 0.96 44.6671 84.7125
"266" "DM097" "." 0 0.0561677 -0.0350935 -0.0478421 -0.0707788 1 2 85 52 47 833 0.96748 4 1.88889 45 0 768455 52465.5 0.903846 43.1643 78.5412
"267" "DM102" "." 0 0.0725783 -0.147867 0.0623791 -0.0747277 1 2 91 57 48 852 0.989547 0 1.85 43 0 533548 40504.9 0.929825 39.3858 59.6593
"268" "DM107" "." 0 -0.00495012 -0.0721677 0.131441 0.144273 2 2 83 50 44 829 0.962834 0 2.125 45 0 716550 52601.3 0.94 38.922 64.6627
"269" "DM120" "." 0 0.0462739 0.137269 0.171328 -0.0751605 1 1 78 48 31 837 0.972125 0 2.2 37 0 763432 50578.3 0.8125 43.4512 78.641
"270" "DM158" "." 0 0.112913 -0.12685 0.228874 -0.0287022 2 2 94 75 57 854 0.99187 0 2.26087 60 0 559700 44299.7 0.973333 41.6997 68.6809
"271" "DM165" "." 0 0.0634433 -0.0335677 -0.0813416 0.05148 1 2 88 60 55 854 0.99187 0 2.15789 46 0 713593 47549.8 0.95 48.3718 89.0795
"272" "DM176" "." 0 -0.184389 0.0486218 0.0342439 0.119663 1 2 70 34 32 829 0.962834 0 2.09091 30 0 771402 56360 0.882353 42.1327 79.7571
"273" "DM184" "." 0 0.149936 0.168713 -0.0917691 -0.138182 2 1 73 51 24 824 0.957027 0 1.83333 46 0 709757 48716.5 0.980392 38.8674 74.589
"274" "DM185" "." 0 0.178515 0.175666 -0.089061 0.0254953 2 1 87 62 39 837 0.972125 1 1.81818 54 1 740537 48823.7 0.983871 40.3919 66.2529
"275" "DM212" "." 0 0.0407084 -0.0692384 0.0475179 -0.075027 1 1 101 68 64 856 0.994193 0 2.2381 48 0 492601 43951.5 0.823529 51.9569 99.505
"276" "G5068" "." 0 -0.0101412 0.0767772 -0.0860572 -0.126127 2 1 79 57 49 847 0.98374 0 1.47826 45 0 738300 47636.6 0.894737 30.7121 40.3038
"277" "G5150" "." 0 0.0157305 0.12285 -0.08258 -0.0896905 2 1 72 40 30 835 0.969803 0 1.35294 36 0 869484 53340.9 0.925 41.0675 73.1806
"278" "G5169" "." 0 -0.072137 -0.0512095 0.109281 0.149735 2 2 88 69 54 854 0.99187 1 2.83333 51 0 634730 44448.4 0.985507 52.2334 103.807
"279" "G5274" "." 0 -0.0513016 0.101728 -0.176352 -0.0820767 2 1 72 53 33 856 0.994193 0 2.11765 39 0 723034 46238.5 1 46.3492 89.7639
"280" "G5339" "." 0 -0.129391 -0.0418605 -0.189424 -0.125595 2 1 61 28 16 831 0.965157 1 0.75 20 0 613800 45404.5 0.75 39.1946 66.459
"281" "G5345" "." 0 -0.00646724 0.160603 -0.00784333 0.096347 2 1 90 68 51 855 0.993031 0 1.61538 52 0 730233 49430.6 0.955882 50.6247 95.1667
"282" "G5412" "." 0 -0.194797 -0.108395 0.132136 -0.00387513 2 1 83 51 45 823 0.955865 1 2.64286 44 1 710145 49879.9 0.882353 24.3993 28.6506
"283" "G5413" "." 0 -0.199462 0.028792 0.0440446 0.117955 2 1 84 46 45 834 0.968641 0 2.28571 40 0 622702 50527.5 0.891304 53.0978 114.083
"284" "G5415" "." 0 0.00818523 0.0691741 0.0093509 0.0900992 2 1 99 75 71 848 0.984901 0 2 59 0 772236 49716.9 0.906667 41.6756 67.101
"285" "G5428" "." 0 -0.124941 -0.207919 0.0900711 0.145214 2 2 81 48 39 851 0.988386 1 2.42857 34 0 630097 47101.3 0.895833 39.8941 63.1235
"286" "G5429" "." 0 0.0847708 0.00149783 0.206352 -0.0684019 2 1 86 55 38 837 0.972125 0 2.05556 44 0 705610 49786.7 0.909091 51.3322 100.512
"287" "G5434" "." 0 -0.116513 0.0490485 0.0740625 -0.0181874 2 1 75 50 45 836 0.970964 4 2.57143 38 1 764229 48627.8 0.96 52.3221 106.053
"288" "G5438" "." 0 -0.119655 -0.21978 0.0204802 -0.0375843 2 1 70 37 21 834 0.968641 0 1.46667 30 0 768246 52369 0.810811 46.3419 90.9429
"289" "G5444" "." 0 -0.0752211 0.101488 0.116098 -0.0386844 2 1 92 59 55 849 0.986063 0 2.10526 41 0 604120 45469.1 0.898305 42.9335 69.7391
"290" "G5449" "." 0 -0.00218864 0.0452005 -0.0675519 -0.102535 2 1 78 46 42 837 0.972125 0 1.42105 41 0 793114 51145.2 0.956522 45.8471 85.1026
"291" "G5456" "." 0 0.172252 0.000953673 0.059534 -0.0609514 2 1 87 66 47 836 0.970964 0 1.86957 61 0 811012 50555.5 0.969697 40.6326 68.1609
"292" "G5460" "." 0 0.0142536 -0.119953 0.173861 -0.0361837 2 1 82 50 34 847 0.98374 0 1.77778 36 0 681546 47875 0.94 40.5456 66.3659
"293" "G5469" "." 0 -0.175977 -0.097956 0.0957652 -0.0218333 2 1 74 36 29 837 0.972125 0 1.76923 31 0 691176 49727.8 0.916667 43.7902 82.6622
"294" "G5485" "." 0 0.0755932 0.0958313 0.203342 -0.0966084 2 2 72 39 18 835 0.969803 0 1.4375 34 0 784799 54105.6 0.974359 51.0256 113.556
"295" "G5553" "." 0 0.131433 0.11519 -0.0456613 -0.127238 2 1 89 69 53 845 0.981417 0 1.76 50 0 703997 46656.1 0.898551 36.8881 54.4944
"296" "G5559" "." 0 0.0819567 -0.041964 -0.0983562 0.0713823 2 1 97 74 52 852 0.989547 3 2.52381 58 1 574301 44512.4 0.945946 40.1424 62.7835
"297" "G5566" "." 0 0.0899713 0.219931 0.134844 0.097461 2 1 79 60 35 849 0.986063 2 2 46 0 794321 50014.3 0.95 46.9837 91.0886
"298" "G5569" "." 0 0.0506324 -0.0346279 -0.0480255 -0.0775829 2 1 92 63 57 831 0.965157 0 1.73913 52 0 649763 48344.1 0.873016 43.7918 74.6304
"299" "G5573" "." 0 -0.223355 0.0183004 0.0739106 -0.0435743 2 1 70 35 32 831 0.965157 1 1.69231 30 1 753367 53865.6 0.885714 40.1364 72.3571
"300" "G5576" "." 0 -0.219306 0.09569 0.0515034 -0.0303814 2 1 64 33 21 851 0.988386 0 1.75 17 0 698739 47103.1 0.787879 42.6985 77.6875
"301" "G5579" "." 0 -0.152436 -0.0239336 -0.0312213 -0.0829449 2 1 64 23 16 835 0.969803 0 1.875 19 0 591827 43472.5 0.695652 43.0396 78.4688
"302" "G5589" "." 0 -0.13353 0.067298 -0.146453 -0.0773374 2 2 65 31 15 854 0.99187 0 1.21429 21 0 635889 46326 0.935484 46.8091 96.2154
"303" "G5598" "." 0 0.168637 -0.0494773 0.126333 -0.0863906 2 1 86 59 41 831 0.965157 2 1.68182 54 0 814506 54058.8 0.966102 42.2317 71.5
"304" "G5605" "." 0 0.112389 -0.107976 -0.152443 0.0796257 2 1 88 60 48 836 0.970964 0 1.72727 54 0 703766 50524.5 0.916667 43.2875 79.4545
"305" "G5607" "." 0 -0.1124 -0.0322516 -0.130991 -0.0845022 2 1 65 28 25 828 0.961672 0 1.15385 23 0 748319 51254.6 0.821429 35.3918 54.8769
"306" "G5617" "." 0 0.0678251 0.162507 0.00312029 -0.0589768 2 1 92 74 60 852 0.989547 0 1.74074 57 0 711598 47185.9 0.972973 40.4557 63.1196
"307" "G5627" "." 0 0.108304 0.00716899 -0.101514 0.0783434 2 1 80 60 43 815 0.946574 0 2.15789 53 0 822241 51849.9 0.983333 27.2552 37.05
