"FID" "IID" "SOL" "C1" "C2" "C3" "C4" "HYPER" "SEX" "NALT" "NMIN" "NHET" "NVAR" "RATE" "SING" "TITV" "PASS" "PASS_S" "QUAL" "DP" "REF.dbsnp" "G.DP" "NRG.DP"
"35" "AT0334" "." 0 -0.149967 -0.0688001 0.0559579 0.129403 1 1 72 36 31 836 0.970964 0 1.91667 29 0 758524 51660.4 0.916667 48.243 99.8472
"36" "AT0335" "." 0 -0.120043 -0.0878469 -0.0152177 -0.0634604 1 1 76 37 36 832 0.966318 0 2.7 33 0 648847 49867.8 0.918919 39.543 69.75
"37" "AT0337" "." 0 -0.134043 0.0162567 -0.193328 -0.102988 2 2 59 29 20 831 0.965157 0 1.23077 21 0 792291 54152.4 0.793103 39.1737 68.0678
"38" "AT0339" "." 0 0.0572044 0.0806696 -0.140655 0.03033 1 1 76 50 41 835 0.969803 0 1.63158 43 0 811414 53000.4 0.9 40.4726 66.8158
"39" "AT0344" "." 0 0.144043 -0.0238918 0.198679 0.0794427 1 1 95 72 47 852 0.989547 0 2.6 57 0 640632 45773.7 0.944444 41.1688 63.1474
"40" "AT0346" "." 0 0.0560365 0.181512 0.152427 0.00564195 1 1 82 49 26 837 0.972125 0 1.57895 39 0 689175 51974.5 0.918367 45.2651 79.3415
"41" "AT0353" "." 0 0.0279338 0.0679909 -0.103116 0.038053 1 2 85 55 50 837 0.972125 0 1.29167 42 0 665203 47582.2 0.818182 39.9313 63.0235
"42" "AT0357" "." 0 0.025229 0.0670108 -0.0666762 -0.0830365 1 2 79 49 47 836 0.970964 1 1.57895 43 0 845851 52344.6 0.938776 41.6655 71.9114
"43" "AT0358" "." 0 -0.248407 0.0295169 0.0802946 -0.0469112 1 2 74 36 34 833 0.96748 0 1.57143 29 0 620031 51369.2 0.805556 43.3628 81.8514
"44" "AT0363" "." 0 -0.14347 0.0111003 -0.0659529 0.0548548 1 2 77 36 32 840 0.97561 1 1.25 31 1 486874 45182.2 0.833333 40.766 67
"45" "AT0387" "." 0 -0.1605 0.010607 -0.035909 -0.0829699 1 2 75 34 32 835 0.969803 0 1.42857 28 0 549304 45820.9 0.823529 43.3993 80.9333
